ts,record_id,market_index,funding_rate,cumulative_funding_rate_long,cumulative_funding_rate_short,oracle_price_twap,mark_price_twap
2022-03-02 22:08:48-05:00,19638,11,172947940000,41286712737066,41286712737066,459062191183,459477266239
2022-03-02 23:00:01-05:00,19639,3,-628048371666,-106865328757560,-165862547549138,925193352969,923686036877
2022-03-02 23:00:02-05:00,19640,7,-135607226666,242238030063924,239787885499449,330117751346,329792294002
2022-03-02 23:00:03-05:00,19641,10,1669592500,1100402128716,1100402128716,8305885476,8309892498
2022-03-02 23:00:07-05:00,19642,4,113157339166,203843144856234,37235714194477,821759147811,822030725425
2022-03-02 23:00:07-05:00,19643,8,65654499583,157650735824019,77203620223424,182692608413,182850179212
2022-03-02 23:00:17-05:00,19644,12,-196142936666,42038005503359,27649586093924,1103583408123,1103112665075
2022-03-02 23:00:17-05:00,19645,0,184452554166,1475424035132093,403994325235867,988174621119,988617307249
2022-03-02 23:00:24-05:00,19646,5,2330163940833,2915744134635650,1286194782181852,4067071882758,4072664276216
2022-03-02 23:00:24-05:00,19647,9,6770612500,703193564950,703193564950,9280700882,9296950352
2022-03-02 23:00:41-05:00,19648,2,7269753082083,48340948013003627,37784213821742796,29209227798417,29226675205814
2022-03-02 23:02:11-05:00,19649,6,8935257916,11764233333115,9549027088353,16201616916,16223061535
2022-03-02 23:03:37-05:00,19650,11,329235091250,41615947828316,41615947828316,456334039839,457124204058
2022-03-02 23:03:40-05:00,19651,1,75739119929166,1001698455715239402,450041494534309625,436567602198156,436749376085986
2022-03-03 00:00:15-05:00,19652,0,239886246666,1475663921378759,404234211482533,987741138753,988316865745
2022-03-03 00:00:19-05:00,19653,8,75911071666,157726646895685,77279531295090,182561680279,182743866851
2022-03-03 00:00:19-05:00,19654,1,135928886118750,1001834384601358152,450177423420428375,434865425782135,435191655108820
2022-03-03 00:00:19-05:00,19655,5,2210626912083,2917954761547733,1288405409093935,4064017291929,4069322796518
2022-03-03 00:00:20-05:00,19656,11,414699495833,42030647324149,42030647324149,454419804325,455415083115
2022-03-03 00:00:24-05:00,19657,3,-613290850833,-107478619608393,-166475838399971,926091418012,924619519970
2022-03-03 00:00:25-05:00,19658,2,9122591374583,48350070604378210,37793336413117379,29082466846939,29104361066238
2022-03-03 00:00:34-05:00,19659,7,-93304041250,242144726022674,239694581458199,328784217870,328560288171
2022-03-03 00:00:36-05:00,19660,12,-182726658333,41855278845026,27466859435591,1106879992730,1106441448750
2022-03-03 00:00:37-05:00,19661,9,10624755000,713818319950,713818319950,9233289897,9258789309
2022-03-03 00:00:38-05:00,19662,6,11847276666,11776080609781,9560874365019,16134753377,16163186841
2022-03-03 00:00:39-05:00,19663,4,97293756666,203940438612900,37333007951143,818693492112,818926997128
2022-03-03 00:01:47-05:00,19664,10,1824935416,1102227064132,1102227064132,8314230078,8318609923
2022-03-03 01:00:02-05:00,19665,3,-595980272916,-108074599881309,-167071818672887,924163775973,922733423318
2022-03-03 01:00:02-05:00,19666,7,-107977052916,242036748969758,239586604405283,327732607139,327473462212
2022-03-03 01:00:20-05:00,19667,5,1872992340416,2919827753888149,1290278401434351,4068276744570,4072771926187
2022-03-03 01:00:27-05:00,19668,4,27434649166,203967873262066,37360442600309,818871492150,818937335308
2022-03-03 01:00:49-05:00,19669,2,9539056947500,48359609661325710,37802875470064879,29058431283177,29081325019851
2022-03-03 01:01:37-05:00,19670,0,208846410000,1475872767788759,404443057892533,989571420027,990072651411
2022-03-03 01:01:47-05:00,19671,1,207039160844583,1002041423762202735,450384462581272958,434200105873386,434696999859413
2022-03-03 01:02:07-05:00,19672,6,12790629583,11788871239364,9573664994602,16115877667,16146575178
2022-03-03 01:03:07-05:00,19673,12,-365923940833,41489354904193,27100935494758,1107695213809,1106816996351
2022-03-03 01:04:31-05:00,19674,8,55357552500,157782004448185,77334888847590,182499482093,182632340219
2022-03-03 01:06:39-05:00,19675,11,493830079583,42524477403732,42524477403732,453794098514,454979290705
2022-03-03 01:06:47-05:00,19676,10,2461376250,1104688440382,1104688440382,8288347653,8294254956
2022-03-03 01:07:23-05:00,19677,9,9823692916,723642012866,723642012866,9207207429,9230784292
2022-03-03 02:00:05-05:00,19678,3,-662445227500,-108737045108809,-167734263900387,923583180668,921993312122
2022-03-03 02:00:08-05:00,19679,6,10078861250,11798950100614,9583743855852,16093377621,16117566888
2022-03-03 02:00:09-05:00,19680,4,-87756651666,203880116610400,37272685948643,823730447121,823519831157
2022-03-03 02:00:10-05:00,19681,0,116959817916,1475989727606675,404560017710449,992852770603,993133474166
2022-03-03 02:00:30-05:00,19682,12,-464294028750,41025060875443,26636641466008,1110973855691,1109859550022
2022-03-03 02:00:32-05:00,19683,7,-132588575000,241904160394758,239454015830283,327115520237,326797307657
2022-03-03 02:00:38-05:00,19684,1,147932805213750,1002189356567416485,450532395386486708,433552355139122,433907393871635
2022-03-03 02:00:53-05:00,19685,9,6496230416,730138243282,730138243282,9209317690,9224908643
2022-03-03 02:01:09-05:00,19686,8,45440632083,157827445080268,77380329479673,182681315679,182790373196
2022-03-03 02:01:20-05:00,19687,5,1271752999166,2921099506887315,1291550154433517,4067988246052,4071040453250
2022-03-03 02:01:22-05:00,19688,11,365133560000,42889610963732,42889610963732,453636117142,454512437686
2022-03-03 02:01:25-05:00,19689,10,1667710833,1106356151215,1106356151215,8289744416,8293746922
2022-03-03 02:01:25-05:00,19690,2,7913713140833,48367523374466543,37810789183205712,29047145348611,29066138260149
2022-03-03 03:00:12-05:00,19691,11,326975087083,43216586050815,43216586050815,454552500476,455337240685
2022-03-03 03:00:12-05:00,19692,5,1553830924166,2922653337811481,1293103985357683,4074348478291,4078077672509
2022-03-03 03:00:12-05:00,19693,4,-45002842500,203835113767900,37227683106143,828296312349,828188305527
2022-03-03 03:00:14-05:00,19694,10,1823420416,1108179571631,1108179571631,8321187443,8325563652
2022-03-03 03:00:14-05:00,19695,0,92368715416,1476082096322091,404652386425865,997651027485,997872712402
2022-03-03 03:00:23-05:00,19696,3,-607737896250,-109344783005059,-168342001796637,927399713141,925941142190
2022-03-03 03:00:25-05:00,19697,7,-133379901666,241770780493092,239320635928617,327532258226,327212146462
2022-03-03 03:00:37-05:00,19698,12,-277867325416,40747193550027,26358774140592,1115721239596,1115054358015
2022-03-03 03:00:40-05:00,19699,6,9721734583,11808671835197,9593465590435,16151808845,16175141008
2022-03-03 03:00:41-05:00,19700,1,177199323113333,1002366555890529818,450709594709600041,434440163702989,434865442078461
2022-03-03 03:00:42-05:00,19701,9,5020391666,735158634948,735158634948,9242378993,9254427933
2022-03-03 03:00:43-05:00,19702,8,42101363750,157869546444018,77422430843423,183191326597,183292369870
2022-03-03 03:02:25-05:00,19703,2,9277587917083,48376800962383626,37820066771122795,29067075072983,29089341283984
2022-03-03 04:00:00-05:00,19704,2,10776146679583,48387577109063209,37830842917802378,29064471132466,29090333884497
2022-03-03 04:00:00-05:00,19705,3,-505917341250,-109850700346309,-168847919137887,926683256501,925469054882
2022-03-03 04:00:03-05:00,19706,11,403116629166,43619702679981,43619702679981,453780962501,454748442411
2022-03-03 04:00:03-05:00,19707,7,-73825032916,241696955460176,239246810895701,325764765423,325587585344
2022-03-03 04:00:04-05:00,19708,1,149003998956666,1002515559889486484,450858598708556707,434608698581334,434966308178830
2022-03-03 04:00:08-05:00,19709,0,50354948333,1476132451270424,404702741374198,1001771741496,1001892593372
2022-03-03 04:00:08-05:00,19710,12,-215680209583,40531513340444,26143093931009,1113283295737,1112765663234
2022-03-03 04:00:08-05:00,19711,10,2858367916,1111037939547,1111037939547,8317320989,8324181072
