ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-05-07 09:16:32-04:00,703568,3XJxKR4p94kWbYBNCQ3bUDR8T7hDGW2GqiQGe6toSTE4,6f2rqJgjLA6sxiy2wqmMuJgqNnXS4JFWggPBkHYovFzm,4,77514359845,-247400000000000,141867401253488,1651921217,308506163507745,141898732845988
2022-05-07 09:16:46-04:00,703569,CAjrfGw7CMpB6ooVukJYhkiJ1WVwaD2AjAgxhjWUpaqP,DFP5Ps9u9PpGRPjwskukSCU89MWBTabQc759UkpdRuzB,0,-1284153171566,-1561100000000000,559894447296871,1651921214,1631241897685598,559812187789372
2022-05-07 09:16:46-04:00,703570,CAjrfGw7CMpB6ooVukJYhkiJ1WVwaD2AjAgxhjWUpaqP,DFP5Ps9u9PpGRPjwskukSCU89MWBTabQc759UkpdRuzB,4,27791122547,-88700000000000,141867401253488,1651921217,308506163507745,141898732845988
2022-05-07 09:16:46-04:00,703571,CAjrfGw7CMpB6ooVukJYhkiJ1WVwaD2AjAgxhjWUpaqP,DFP5Ps9u9PpGRPjwskukSCU89MWBTabQc759UkpdRuzB,1,633320870428,-363000000000,534479034951774843,1651922657,1086310464692051286,534653503511121509
2022-05-07 09:16:46-04:00,703572,CAjrfGw7CMpB6ooVukJYhkiJ1WVwaD2AjAgxhjWUpaqP,DFP5Ps9u9PpGRPjwskukSCU89MWBTabQc759UkpdRuzB,3,-851272589,-200000000000,-623671349796983,1651921295,-565099767300404,-624096986091982
2022-05-07 09:16:50-04:00,703573,8ZypWFMFe2HjucEUpdFopYHscUgCsjxa875h2omXMBxm,AJULLQkN3ud9EUS7KLWDMRjF5spePDyGnmTsLkHh6boi,3,-241313076657,-39700000000000,-623489144589067,1651914055,-565099767300404,-624096986091982
2022-05-07 09:16:50-04:00,703574,8ZypWFMFe2HjucEUpdFopYHscUgCsjxa875h2omXMBxm,AJULLQkN3ud9EUS7KLWDMRjF5spePDyGnmTsLkHh6boi,0,-169802702715,-447200000000000,559850157982287,1651914136,1631241897685598,559812187789372
2022-05-07 09:16:50-04:00,703575,8ZypWFMFe2HjucEUpdFopYHscUgCsjxa875h2omXMBxm,AJULLQkN3ud9EUS7KLWDMRjF5spePDyGnmTsLkHh6boi,1,1693365043737,-598000000000,534370332099125260,1651914287,1086310464692051286,534653503511121509
2022-05-07 09:16:50-04:00,703576,8ZypWFMFe2HjucEUpdFopYHscUgCsjxa875h2omXMBxm,AJULLQkN3ud9EUS7KLWDMRjF5spePDyGnmTsLkHh6boi,4,101204079425,-103900000000000,141801327572239,1651914015,308506163507745,141898732845988
2022-05-07 09:17:02-04:00,703577,YSQGkM85ng4kmG2L5hCWZzApi8MUHtJ5rBLjU4yXopS,Hb232GrBKxNpUSfwLejUpLj6KWxs4h8VoYKdNyj67uV8,1,27429304389337,-13000000000000,534442508861972760,1651918604,1086310464692051286,534653503511121509
