,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
96,Fp2zohjQyJ3216y8QkT4BkcEfvDFJjt3tZ6mMTVT6SBZ,HcaY2wJqPAyx8SStfWRH5khkfXZniki1JxHsUNmrjJ6G,1.0,0.0,28320.19,-160.9914853886095,-2.35437634892357,175.9111044390905
97,HdFc6xoz9xTuSh2AyF8oWS7BP7uoriBM5sAxsrsR7Ygs,8NhWNE2yKpfKc9igSkY3UtKd8DKSqVPDcdtfyNL24UZr,0.0,1.0,5.08,0.000101459354,4377.581968637173,50069.31149985441
98,2eW5mo6MNutkQigrsh8ZDmvohhmR2jPEeKfss3Y2KNtp,FUHnupHp2TVHCQJwdTBPpXZoewtZzVBKZuDWJJA3wjd6,,,,,,
99,2ubuCBGhcCcQcXuxZxyskwSUgbuhc7n5gF9ucDpgH7HM,ETHDSRr3e2TJARmLd8Rrt3Ff8gGCin4snCrBnhyELjHK,0.0,1.0,73.99,-0.0013129878451,485.7001600624831,56352.38762957836
100,2ubuCBGhcCcQcXuxZxyskwSUgbuhc7n5gF9ucDpgH7HM,ETHDSRr3e2TJARmLd8Rrt3Ff8gGCin4snCrBnhyELjHK,1.0,2.0,74.0,0.0163924532974,-32.71999681610819,4514.272431188631
101,GefeNAw5BdDkibatZknZVGsLhkfc8wfxriEfjHNpvMPm,Eo5LYLiUCspbrK13ker5skq9kMjnpUJEJPSbRDWjH6V4,0.0,0.0,22116.2,152.7602035202639,4.91128537107377,144.77723576131692
102,2Yo3MQstEG8zfujBHGLDWF5JARtUfQ1FJ1dKDUi8Lznf,5EiH8hMjiiGHd1Sav1rWKipEPsk6ZVK3kENL8BH9Yo8S,0.0,0.0,15.0,0.0867300612012,-0.09903919656689,172.95041410385238
103,FEUnYMwX6p4j5yssKdc6Ub7YPbwfc7gFRF65srin55Ws,FpnVZkQbXiXoH9U9dygwXtz3TjASioNU5xrbc4RipbbY,,,,,,
104,2kb13KTWuxgu3qJFvpzDtcf56WJHqmHG4CxeYRiJgG7W,6FtF5yQwpgBpY5dCS8KRpYXH3oLiZwg7pQZeb6NwZhTE,0.0,0.0,29.09,-0.1560501802902,-5.03090297526883,186.41439533041577
105,cxc47YpUrS6Rj3g5QAwbqsWHy4sT3PNXeDGoSr7piUn,9qUBW9DSTigwG4XTRZtGTw6jW9iS7sGoPXCKnhi2Mm3H,,,,,,
